Grade Step 1 Step 2 Step 3 Step 4 Step 5 Step 6 Step 7 Step 8 Step 9 Step 10
"1 $ 24,019 $ 24,823 $ 25,621 $ 26,416 $ 27,215 $ 27,682 $ 28,471 $ 29,268 $ 29,300 $ 30,041"
"2 27,005 27,648 28,542 29,300 29,629 30,500 31,371 32,243 33,114 33,985"
"3 29,466 30,448 31,431 32,414 33,397 34,379 35,362 36,345 37,328 38,310"
"4 33,079 34,181 35,283 36,385 37,487 38,589 39,691 40,793 41,895 42,997"
"5 37,009 38,243 39,477 40,711 41,946 43,180 44,414 45,648 46,883 48,117"
"6 41,253 42,629 44,005 45,380 46,756 48,131 49,507 50,882 52,258 53,634"
"7 45,843 47,372 48,900 50,429 51,957 53,486 55,014 56,543 58,072 59,600"
"8 50,770 52,462 54,154 55,845 57,537 59,229 60,921 62,613 64,305 65,997"
"9 56,075 57,944 59,814 61,684 63,553 65,423 67,292 69,162 71,031 72,901"
"10 61,752 63,811 65,870 67,929 69,988 72,047 74,105 76,164 78,223 80,282"
"11 67,845 70,106 72,367 74,628 76,889 79,150 81,411 83,672 85,933 88,194"
"12 81,319 84,030 86,741 89,452 92,163 94,874 97,585 100,296 103,007 105,718"
"13 96,698 99,921 103,144 106,367 109,591 112,814 116,037 119,260 122,483 125,706"
"14 114,268 118,077 121,887 125,696 129,505 133,314 137,123 140,932 144,741 148,550"
"15 134,411 138,891 143,372 147,853 152,334 156,814 161,295 161,900 * 161,900 * 161,900 * "
